Jahr,Verwaltungsregion,Träger,Bildungsart,Typ,Unterrichtssprache,Anzahl_Total,Anzahl_Frauen,Anzahl_Männer
2014,Bern-Mittelland,öffentliche Schule,MAR alte Sprachen,gymnasiale Maturität,deutsch,116,113,3
2014,Bern-Mittelland,öffentliche Schule,MAR eine moderne Sprache,gymnasiale Maturität,deutsch,50,11,39
2014,Bern-Mittelland,öffentliche Schule,MAR Physik und Anwendungen der Mathematik,gymnasiale Maturität,deutsch,125,78,47
2014,Bern-Mittelland,öffentliche Schule,MAR Biologie und Chemie,gymnasiale Maturität,deutsch,133,72,61
2014,Bern-Mittelland,öffentliche Schule,MAR Wirtschaft und Recht,gymnasiale Maturität,deutsch,189,93,96
2014,Bern-Mittelland,öffentliche Schule,"MAR Philosophie, Pädagogik, Psychologie",gymnasiale Maturität,deutsch,86,65,21
2014,Bern-Mittelland,öffentliche Schule,MAR bildnerisches Gestalten,gymnasiale Maturität,deutsch,50,39,11
2014,Bern-Mittelland,öffentliche Schule,MAR Musik,gymnasiale Maturität,deutsch,38,17,21
2014,Bern-Mittelland,öffentliche Schule,Berufsmaturität I - technische Richtung,Berufsmaturität I,deutsch,120,10,110
2014,Bern-Mittelland,öffentliche Schule,Berufsmaturität I - gestalterische Richtung,Berufsmaturität I,deutsch,15,7,8
2014,Bern-Mittelland,öffentliche Schule,Berufsmaturität I - gewerbliche Richtung,Berufsmaturität I,deutsch,29,23,6
2014,Bern-Mittelland,öffentliche Schule,Berufsmaturität II - technische Richtung,Berufsmaturität II,deutsch,112,16,96
2014,Bern-Mittelland,öffentliche Schule,Berufsmaturität II - gestalterische Richtung,Berufsmaturität II,deutsch,42,25,17
2014,Bern-Mittelland,öffentliche Schule,Berufsmaturität II - gewerbliche Richtung,Berufsmaturität II,deutsch,26,10,16
2014,Bern-Mittelland,öffentliche Schule,Berufsmaturität II - naturwissenschaftliche Richtung,Berufsmaturität II,deutsch,43,19,24
2014,Bern-Mittelland,öffentliche Schule,Berufsmaturität II - gesundheitliche und soziale Richtung,Berufsmaturität II,deutsch,113,92,21
2014,Bern-Mittelland,öffentliche Schule,Passerelle Berufsmaturität - UH,Passerelle,deutsch,77,33,44
2014,Bern-Mittelland,private Schule,MAR eine moderne Sprache,gymnasiale Maturität,deutsch,23,11,12
2014,Bern-Mittelland,private Schule,MAR Physik und Anwendungen der Mathematik,gymnasiale Maturität,deutsch,5,1,4
2014,Bern-Mittelland,private Schule,MAR Biologie und Chemie,gymnasiale Maturität,deutsch,45,19,26
2014,Bern-Mittelland,private Schule,MAR Wirtschaft und Recht,gymnasiale Maturität,deutsch,45,14,31
2014,Bern-Mittelland,private Schule,"MAR Philosophie, Pädagogik, Psychologie",gymnasiale Maturität,deutsch,60,30,30
2014,Bern-Mittelland,private Schule,MAR bildnerisches Gestalten,gymnasiale Maturität,deutsch,23,11,12
2014,Bern-Mittelland,private Schule,MAR Musik,gymnasiale Maturität,deutsch,14,10,4
2014,Bern-Mittelland,private Schule,Berufsmaturität I - kaufmännische Richtung,Berufsmaturität I,deutsch,166,91,75
2014,Bern-Mittelland,private Schule,Berufsmaturität II - technische Richtung,Berufsmaturität II,deutsch,21,4,17
2014,Bern-Mittelland,private Schule,Berufsmaturität II - kaufmännische Richtung,Berufsmaturität II,deutsch,284,158,126
2014,Bern-Mittelland,private Schule,Berufsmaturität II - gesundheitliche und soziale Richtung,Berufsmaturität II,deutsch,19,13,6
2014,Bern-Mittelland,private Schule,Passerelle Berufsmaturität - UH,Passerelle,deutsch,10,6,4
2014,Biel-Seeland,öffentliche Schule,MAR alte Sprachen,gymnasiale Maturität,französisch,4,3,1
2014,Biel-Seeland,öffentliche Schule,MAR eine moderne Sprache,gymnasiale Maturität,deutsch,27,24,3
2014,Biel-Seeland,öffentliche Schule,MAR eine moderne Sprache,gymnasiale Maturität,französisch,45,37,8
2014,Biel-Seeland,öffentliche Schule,MAR eine moderne Sprache,gymnasiale Maturität,deutsch/französisch,16,13,3
2014,Biel-Seeland,öffentliche Schule,MAR Physik und Anwendungen der Mathematik,gymnasiale Maturität,deutsch,13,2,11
